flow,loras,cfg,steps,n,clip_delta_mean,ocr_delta_mean,missing_no_%,missing_lora_%
text2img,wordmark:1.0;cartoon:1.0,4.0,15,120,0.0196,0.0000,93.3,85.8
text2img,wordmark:1.0;cartoon:1.0,4.0,20,120,0.0198,1.4000,97.5,83.3
text2img,wordmark:1.0;cartoon:1.0,4.0,25,120,0.0206,nan,95.0,82.5
text2img,wordmark:1.0;cartoon:1.0,5.0,15,120,0.0213,nan,95.0,84.2
text2img,wordmark:1.0;cartoon:1.0,5.0,20,120,0.0199,1.4000,95.0,80.0
text2img,wordmark:1.0;cartoon:1.0,5.0,25,120,0.0167,1.2000,94.2,85.8
text2img,wordmark:1.0;cartoon:1.0,6.0,15,120,0.0152,-0.6000,94.2,83.3
text2img,wordmark:1.0;cartoon:1.0,6.0,20,120,0.0176,0.0000,95.8,80.0
text2img,wordmark:1.0;cartoon:1.0,6.0,25,120,0.0164,-1.0000,92.5,77.5
