flow,loras,cfg,steps,n,clip_delta_mean,ocr_delta_mean,missing_no_%,missing_lora_%
text2img,wordmark:1.0,4.0,15,4,0.0232,0.0000,50.0,50.0
text2img,wordmark:1.0,4.0,20,4,0.0093,-0.2500,50.0,75.0
text2img,wordmark:1.0,4.0,25,4,-0.0024,0.2500,50.0,75.0
text2img,wordmark:1.0,5.0,15,4,-0.0060,0.0000,50.0,75.0
text2img,wordmark:1.0,5.0,20,4,-0.0023,0.2500,50.0,75.0
text2img,wordmark:1.0,5.0,25,4,-0.0037,0.2500,50.0,75.0
text2img,wordmark:1.0,6.0,15,4,0.0171,0.0000,50.0,25.0
text2img,wordmark:1.0,6.0,20,4,-0.0080,0.2500,50.0,75.0
text2img,wordmark:1.0,6.0,25,4,0.0124,0.0000,50.0,75.0
