flow,loras,cfg,steps,n,clip_delta_mean,ocr_delta_mean,missing_no_%,missing_lora_%
text2img,wordmark:1.0,4.0,15,4,-0.0072,0.8750,50.0,25.0
text2img,wordmark:1.0,4.0,20,4,0.0125,0.0000,75.0,50.0
text2img,wordmark:1.0,4.0,25,4,0.0241,0.7500,50.0,25.0
text2img,wordmark:1.0,5.0,15,4,0.0028,0.2500,50.0,50.0
text2img,wordmark:1.0,5.0,20,4,0.0219,-1.2500,50.0,50.0
text2img,wordmark:1.0,5.0,25,4,0.0087,0.0000,75.0,50.0
text2img,wordmark:1.0,6.0,15,4,0.0290,nan,100.0,75.0
text2img,wordmark:1.0,6.0,20,4,0.0125,-0.7500,50.0,50.0
text2img,wordmark:1.0,6.0,25,4,0.0167,0.2500,50.0,50.0
