flow,loras,cfg,steps,n,clip_delta_mean,ocr_delta_mean,missing_no_%,missing_lora_%
text2img,iconic:1.0;minimalistic:1.0,4.0,15,120,-0.0051,nan,99.2,99.2
text2img,iconic:1.0;minimalistic:1.0,4.0,20,120,-0.0039,nan,96.7,99.2
text2img,iconic:1.0;minimalistic:1.0,4.0,25,120,-0.0051,nan,97.5,98.3
text2img,iconic:1.0;minimalistic:1.0,5.0,15,120,-0.0034,nan,100.0,97.5
text2img,iconic:1.0;minimalistic:1.0,5.0,20,120,-0.0050,0.0000,98.3,95.8
text2img,iconic:1.0;minimalistic:1.0,5.0,25,120,-0.0032,nan,100.0,97.5
text2img,iconic:1.0;minimalistic:1.0,6.0,15,120,-0.0061,nan,99.2,98.3
text2img,iconic:1.0;minimalistic:1.0,6.0,20,120,-0.0034,nan,98.3,99.2
text2img,iconic:1.0;minimalistic:1.0,6.0,25,120,-0.0048,nan,98.3,97.5
