flow,loras,cfg,steps,n,clip_delta_mean,ocr_delta_mean,missing_no_%,missing_lora_%
text2img,iconic:1.0;vintage:1.0,4.0,15,120,0.0005,nan,99.2,100.0
text2img,iconic:1.0;vintage:1.0,4.0,20,120,-0.0004,nan,96.7,97.5
text2img,iconic:1.0;vintage:1.0,4.0,25,120,0.0008,nan,97.5,96.7
text2img,iconic:1.0;vintage:1.0,5.0,15,120,-0.0001,nan,100.0,96.7
text2img,iconic:1.0;vintage:1.0,5.0,20,120,-0.0016,nan,98.3,98.3
text2img,iconic:1.0;vintage:1.0,5.0,25,120,0.0017,nan,100.0,96.7
text2img,iconic:1.0;vintage:1.0,6.0,15,120,-0.0004,nan,99.2,97.5
text2img,iconic:1.0;vintage:1.0,6.0,20,120,-0.0012,nan,98.3,95.8
text2img,iconic:1.0;vintage:1.0,6.0,25,120,0.0005,nan,98.3,98.3
