flow,loras,cfg,steps,n,clip_delta_mean,ocr_delta_mean,missing_no_%,missing_lora_%
text2img,wordmark:1.0,4.0,15,4,0.0263,nan,75.0,50.0
text2img,wordmark:1.0,4.0,20,4,0.0254,nan,75.0,50.0
text2img,wordmark:1.0,4.0,25,4,0.0290,0.2500,50.0,50.0
text2img,wordmark:1.0,5.0,15,4,0.0208,nan,100.0,75.0
text2img,wordmark:1.0,5.0,20,4,0.0215,nan,75.0,25.0
text2img,wordmark:1.0,5.0,25,4,0.0190,0.0000,75.0,50.0
text2img,wordmark:1.0,6.0,15,4,0.0193,0.5000,50.0,50.0
text2img,wordmark:1.0,6.0,20,4,0.0145,nan,100.0,50.0
text2img,wordmark:1.0,6.0,25,4,0.0050,nan,100.0,75.0
